team_full_name,team_id,game_type,game_type_id,playoff_outcome,playoff_outcome_id,years_since_last_active,start_year,team_improvement_during_regular_season,regular_season_sum,made_playoffs_sum,won_stanley_cup_sum,made_playoffs_efficiency,won_stanley_cup_efficiency,time_on_ice,regular_season_count,made_playoffs_count,won_stanely_cup_count,lost_in_stanely_cup_final_count,games_played,wins,nhl_metrics,nhl_metric_variance_values
Colorado Avalanche,21,Regular Season,2,Other,0,0,2008,-0.40384615384615384615,29,20,3,0.6896551724137931,0.15,3774.0,1,0,0,0,82,32,low_danger_chances_for,-102.86666666666656
Edmonton Oilers,22,Regular Season,2,Other,0,0,2008,-0.01449275362318840580,45,26,5,0.5777777777777777,0.1923077,3671.0,1,0,0,0,82,38,low_danger_chances_for,4.133333333333439
Vancouver Canucks,23,Regular Season,2,Other,0,0,2008,0E-20,54,29,0,0.5370370370370371,3.4482757e-11,3589.0,1,0,0,0,82,45,low_danger_chances_for,-172.86666666666656
Anaheim Ducks,24,Regular Season,2,Other,0,0,2008,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3655.0,1,0,0,0,82,42,low_danger_chances_for,-148.86666666666656
Dallas Stars,25,Regular Season,2,Other,0,0,2008,-0.30927835051546391753,31,19,1,0.6129032258064516,0.05263158,3667.0,1,0,0,0,82,36,low_danger_chances_for,8.13333333333344
Los Angeles Kings,26,Regular Season,2,Other,0,0,2008,-0.16666666666666666667,57,33,2,0.5789473684210527,0.060606062,3590.0,1,0,0,0,82,34,low_danger_chances_for,-15.86666666666656
Phoenix Coyotes,27,Regular Season,2,Other,0,11,2008,0.07228915662650602410,17,8,0,0.47058823529411764,1.25e-10,3781.0,1,0,0,0,82,36,low_danger_chances_for,-49.86666666666656
San Jose Sharks,28,Regular Season,2,Other,0,0,2008,-0.07692307692307692308,33,21,0,0.6363636363636364,4.7619048e-11,3738.0,1,0,0,0,82,53,low_danger_chances_for,92.13333333333344
Columbus Blue Jackets,29,Regular Season,2,Other,0,0,2008,-0.16901408450704225352,24,6,0,0.25,1.6666667e-10,3693.0,1,0,0,0,82,41,low_danger_chances_for,-49.86666666666656
Minnesota Wild,30,Regular Season,2,Other,0,0,2008,-0.02941176470588235294,24,13,0,0.5416666666666666,7.692307e-11,3774.0,1,0,0,0,82,40,low_danger_chances_for,14.13333333333344
New Jersey Devils,1,Regular Season,2,Other,0,0,2009,0.33333333333333333333,42,23,3,0.5476190476190477,0.13043478,3954.0,1,0,0,0,82,48,low_danger_chances_for,-45.09999999999991
New York Islanders,2,Regular Season,2,Other,0,0,2009,0.83333333333333333333,52,29,4,0.5576923076923077,0.13793103,3798.0,1,0,0,0,82,34,low_danger_chances_for,-137.0999999999999
New York Rangers,3,Regular Season,2,Other,0,0,2009,-0.07142857142857142857,98,63,4,0.6428571428571429,0.06349207,3762.0,1,0,0,0,82,38,low_danger_chances_for,-229.0999999999999
